circuit_family,subgroup,train_size,random_sharing,n,test_accuracy,train_accuracy,generalization_gap,num_parameters,source
edge,C4,30,False,10,0.5425287356321838,0.8633333333333333,0.32080459770114944,60.0,results_leak_free_edge_L3p2.csv
edge,C4,60,False,10,0.6022988505747127,0.7916666666666667,0.189367816091954,60.0,results_leak_free_edge_L3p2.csv
edge,C4,120,False,10,0.628735632183908,0.7683333333333333,0.1395977011494252,60.0,results_leak_free_edge_L3p2.csv
edge,C4,240,False,10,0.6770114942528735,0.7529166666666667,0.07590517241379309,60.0,results_leak_free_edge_L3p2.csv
edge,C4,450,False,10,0.6862068965517241,0.7217777777777779,0.03557088122605362,60.0,results_leak_free_edge_L3p2.csv
edge,C4,600,False,10,0.7034482758620689,0.7218333333333333,0.01838505747126434,60.0,results_leak_free_edge_L3p2.csv
edge,D2_V4,30,False,10,0.49942528735632186,0.9099999999999999,0.4105747126436781,78.0,results_leak_free_edge_L3p2.csv
edge,D2_V4,60,False,10,0.5488505747126438,0.8183333333333334,0.26948275862068966,78.0,results_leak_free_edge_L3p2.csv
edge,D2_V4,120,False,10,0.6080459770114943,0.7833333333333333,0.17528735632183906,78.0,results_leak_free_edge_L3p2.csv
edge,D2_V4,240,False,10,0.664367816091954,0.7370833333333333,0.07271551724137926,78.0,results_leak_free_edge_L3p2.csv
edge,D2_V4,450,False,10,0.6689655172413793,0.7097777777777778,0.04081226053639847,78.0,results_leak_free_edge_L3p2.csv
edge,D2_V4,600,False,10,0.6505747126436782,0.6986666666666667,0.04809195402298846,78.0,results_leak_free_edge_L3p2.csv
edge,D4,30,False,10,0.5643678160919541,0.8699999999999999,0.305632183908046,54.0,results_leak_free_edge_L3p2.csv
edge,D4,60,False,10,0.6114942528735632,0.8116666666666668,0.20017241379310344,54.0,results_leak_free_edge_L3p2.csv
edge,D4,120,False,10,0.6344827586206897,0.755,0.1205172413793103,54.0,results_leak_free_edge_L3p2.csv
edge,D4,240,False,10,0.6850574712643678,0.7224999999999999,0.03744252873563219,54.0,results_leak_free_edge_L3p2.csv
edge,D4,450,False,10,0.6655172413793103,0.7135555555555555,0.04803831417624517,54.0,results_leak_free_edge_L3p2.csv
edge,D4,600,False,10,0.6781609195402298,0.706,0.027839080459770092,54.0,results_leak_free_edge_L3p2.csv
edge,Z2_reflection,30,False,10,0.4767241379310345,0.97,0.4932758620689655,126.0,results_leak_free_edge_L3p2.csv
edge,Z2_reflection,60,False,10,0.5316091954022989,0.8816666666666666,0.35005747126436776,126.0,results_leak_free_edge_L3p2.csv
edge,Z2_reflection,120,False,10,0.5974137931034483,0.8241666666666667,0.22675287356321835,126.0,results_leak_free_edge_L3p2.csv
edge,Z2_reflection,240,False,10,0.6431034482758621,0.7654166666666666,0.12231321839080456,126.0,results_leak_free_edge_L3p2.csv
edge,Z2_reflection,450,False,10,0.6718390804597701,0.7337777777777778,0.06193869731800757,126.0,results_leak_free_edge_L3p2.csv
edge,Z2_reflection,600,False,10,0.6655172413793103,0.7115,0.04598275862068965,126.0,results_leak_free_edge_L3p2.csv
edge,Z2_rot180,30,False,10,0.493103448275862,0.9633333333333335,0.47022988505747126,108.0,results_leak_free_edge_L3p2.csv
edge,Z2_rot180,60,False,10,0.517816091954023,0.8566666666666667,0.3388505747126437,108.0,results_leak_free_edge_L3p2.csv
edge,Z2_rot180,120,False,10,0.5683908045977011,0.7966666666666666,0.2282758620689655,108.0,results_leak_free_edge_L3p2.csv
edge,Z2_rot180,240,False,10,0.6316091954022989,0.7491666666666666,0.1175574712643678,108.0,results_leak_free_edge_L3p2.csv
edge,Z2_rot180,450,False,10,0.6574712643678161,0.7146666666666667,0.05719540229885053,108.0,results_leak_free_edge_L3p2.csv
edge,Z2_rot180,600,False,10,0.6603448275862069,0.7123333333333333,0.05198850574712639,108.0,results_leak_free_edge_L3p2.csv
edge,none,30,False,10,0.45229885057471264,0.99,0.5377011494252874,204.0,results_leak_free_edge_L3p2.csv
edge,none,60,False,10,0.4729885057471265,0.9516666666666668,0.4786781609195402,204.0,results_leak_free_edge_L3p2.csv
edge,none,120,False,10,0.5155172413793103,0.8716666666666667,0.3561494252873563,204.0,results_leak_free_edge_L3p2.csv
edge,none,240,False,10,0.5818965517241379,0.7775000000000001,0.19560344827586204,204.0,results_leak_free_edge_L3p2.csv
edge,none,450,False,10,0.6293103448275862,0.7228888888888889,0.09357854406130268,204.0,results_leak_free_edge_L3p2.csv
edge,none,600,False,10,0.646551724137931,0.7081666666666667,0.06161494252873558,204.0,results_leak_free_edge_L3p2.csv
edge_line_zzz_ccrz,C4,30,False,10,0.5632183908045978,0.9400000000000001,0.37678160919540227,96.0,results_leak_free_edge_lines_L3p2.csv
