panel,circuit_family,subgroup,train_size,random_sharing,n,legacy_test_accuracy,leak_free_test_accuracy,delta_test_accuracy,delta_test_accuracy_sd,legacy_train_accuracy,leak_free_train_accuracy,delta_train_accuracy,legacy_generalization_gap,leak_free_generalization_gap,delta_generalization_gap,legacy_exact_overlap,leak_free_exact_overlap,legacy_orbit_overlap,leak_free_orbit_overlap,legacy_test_states_in_train_orbits,delta_test_accuracy_ci95,legacy_test_size,leak_free_test_size
edge,edge,C4,30,False,10,0.5518333333333334,0.5425287356321838,-0.00930459770114942,0.09466408541001176,0.8766666666666666,0.8633333333333333,-0.01333333333333333,0.32483333333333336,0.32080459770114944,-0.004028735632183922,0.0,0.0,19.0,0.0,59.2,0.05867340801242091,600,348
edge,edge,C4,60,False,10,0.5748333333333333,0.6022988505747127,0.027465517241379335,0.07483740173158443,0.8183333333333334,0.7916666666666667,-0.026666666666666672,0.2435,0.189367816091954,-0.05413218390804601,0.0,0.0,35.7,0.0,109.4,0.04638470215360382,600,348
edge,edge,C4,120,False,10,0.6353333333333333,0.628735632183908,-0.006597701149425239,0.11075117350895557,0.7575000000000001,0.7683333333333333,0.010833333333333339,0.12216666666666667,0.1395977011494252,0.017431034482758557,0.0,0.0,64.9,0.0,195.5,0.06864428851766123,600,348
edge,edge,C4,240,False,10,0.645,0.6770114942528735,0.032011494252873564,0.06377137687617447,0.7304166666666667,0.7529166666666667,0.0225,0.08541666666666661,0.07590517241379309,-0.00951149425287353,0.0,0.0,104.3,0.0,302.9,0.03952590888892615,600,348
edge,edge,C4,450,False,10,0.6858333333333333,0.6862068965517241,0.0003735632183908155,0.07610867484791267,0.7062222222222222,0.7217777777777779,0.015555555555555567,0.02038888888888888,0.03557088122605362,0.01518199233716474,96.1,0.0,142.9,0.0,393.7,0.047172645394448355,600,348
edge,edge,C4,600,False,10,0.6953333333333334,0.7034482758620689,0.008114942528735625,0.057019892884448295,0.7103333333333334,0.7218333333333333,0.011499999999999988,0.01499999999999998,0.01838505747126434,0.00338505747126436,129.2,0.0,161.0,0.0,427.0,0.035341295756922214,600,348
edge,edge,D2_V4,30,False,10,0.5241666666666667,0.49942528735632186,-0.02474137931034482,0.09247213252471592,0.9099999999999999,0.9099999999999999,-2.2204460492503132e-17,0.38583333333333336,0.4105747126436781,0.024741379310344806,0.0,0.0,19.0,0.0,59.2,0.05731482153872363,600,348
edge,edge,D2_V4,60,False,10,0.568,0.5488505747126438,-0.019149425287356303,0.04156969647127891,0.845,0.8183333333333334,-0.02666666666666666,0.27699999999999997,0.26948275862068966,-0.007517241379310344,0.0,0.0,35.7,0.0,109.4,0.025765164808256698,600,348
edge,edge,D2_V4,120,False,10,0.5906666666666667,0.6080459770114943,0.017379310344827602,0.0687502664705091,0.7775000000000001,0.7833333333333333,0.005833333333333324,0.18683333333333332,0.17528735632183906,-0.011545977011494266,0.0,0.0,64.9,0.0,195.5,0.04261185663090156,600,348
edge,edge,D2_V4,240,False,10,0.6283333333333333,0.664367816091954,0.03603448275862069,0.07299012980765739,0.7341666666666666,0.7370833333333333,0.0029166666666666564,0.10583333333333331,0.07271551724137926,-0.03311781609195405,0.0,0.0,104.3,0.0,302.9,0.04523975115309483,600,348
edge,edge,D2_V4,450,False,10,0.6751666666666667,0.6689655172413793,-0.006201149425287355,0.03252920327387702,0.7133333333333333,0.7097777777777778,-0.0035555555555555453,0.03816666666666661,0.04081226053639847,0.0026455938697318624,96.1,0.0,142.9,0.0,393.7,0.02016180907194725,600,348
edge,edge,D2_V4,600,False,10,0.6778333333333333,0.6505747126436782,-0.027258620689655188,0.05286100585237573,0.7003333333333334,0.6986666666666667,-0.001666666666666683,0.02249999999999998,0.04809195402298846,0.02559195402298848,129.2,0.0,161.0,0.0,427.0,0.03276359086859555,600,348
edge,edge,D4,30,False,10,0.5321666666666667,0.5643678160919541,0.03220114942528733,0.04815906056574959,0.85,0.8699999999999999,0.019999999999999973,0.3178333333333333,0.305632183908046,-0.012201149425287309,0.0,0.0,19.0,0.0,59.2,0.02984929498690611,600,348
edge,edge,D4,60,False,10,0.5888333333333333,0.6114942528735632,0.022660919540229852,0.07623736000899561,0.7983333333333333,0.8116666666666668,0.013333333333333319,0.20950000000000002,0.20017241379310344,-0.009327586206896533,0.0,0.0,35.7,0.0,109.4,0.04725240528362556,600,348
edge,edge,D4,120,False,10,0.6421666666666667,0.6344827586206897,-0.007683908045977017,0.09810986948723928,0.7441666666666666,0.755,0.010833333333333316,0.10199999999999995,0.1205172413793103,0.01851724137931035,0.0,0.0,64.9,0.0,195.5,0.06080912711022028,600,348
edge,edge,D4,240,False,10,0.6573333333333333,0.6850574712643678,0.027724137931034454,0.0655235886777719,0.7233333333333334,0.7224999999999999,-0.0008333333333333526,0.06599999999999995,0.03744252873563219,-0.02855747126436776,0.0,0.0,104.3,0.0,302.9,0.04061194101519685,600,348
edge,edge,D4,450,False,10,0.6863333333333334,0.6655172413793103,-0.020816091954022998,0.05223307724582043,0.7206666666666667,0.7135555555555555,-0.007111111111111112,0.034333333333333285,0.04803831417624517,0.01370498084291188,96.1,0.0,142.9,0.0,393.7,0.032374396686076216,600,348
edge,edge,D4,600,False,10,0.6871666666666666,0.6781609195402298,-0.009005747126436791,0.03133641792245378,0.7078333333333333,0.706,-0.0018333333333333313,0.02066666666666666,0.027839080459770092,0.007172413793103433,129.2,0.0,161.0,0.0,427.0,0.019422513051791615,600,348
edge,edge,Z2_reflection,30,False,10,0.4725,0.4767241379310345,0.004224137931034488,0.06640345963992628,0.9766666666666668,0.97,-0.00666666666666671,0.5041666666666667,0.4932758620689655,-0.01089080459770112,0.0,0.0,19.0,0.0,59.2,0.041157290687537366,600,348
edge,edge,Z2_reflection,60,False,10,0.5163333333333333,0.5316091954022989,0.015275862068965479,0.046098600400467614,0.8916666666666666,0.8816666666666666,-0.009999999999999986,0.3753333333333333,0.35005747126436776,-0.025275862068965503,0.0,0.0,35.7,0.0,109.4,0.028572208545439855,600,348
edge,edge,Z2_reflection,120,False,10,0.5591666666666667,0.5974137931034483,0.03824712643678162,0.042180769455311795,0.8150000000000001,0.8241666666666667,0.009166666666666646,0.2558333333333333,0.22675287356321835,-0.029080459770114975,0.0,0.0,64.9,0.0,195.5,0.026143911767700062,600,348
edge,edge,Z2_reflection,240,False,10,0.595,0.6431034482758621,0.04810344827586206,0.05866296399714512,0.7454166666666666,0.7654166666666666,0.019999999999999983,0.15041666666666662,0.12231321839080456,-0.028103448275862065,0.0,0.0,104.3,0.0,302.9,0.03635968178337705,600,348
edge,edge,Z2_reflection,450,False,10,0.654,0.6718390804597701,0.01783908045977013,0.06633891446908363,0.7077777777777777,0.7337777777777778,0.025999999999999968,0.05377777777777772,0.06193869731800757,0.008160919540229851,96.1,0.0,142.9,0.0,393.7,0.041117285176179186,600,348
edge,edge,Z2_reflection,600,False,10,0.6706666666666667,0.6655172413793103,-0.005149425287356324,0.04487244538052443,0.7101666666666666,0.7115,0.001333333333333342,0.039499999999999966,0.04598275862068965,0.006482758620689681,129.2,0.0,161.0,0.0,427.0,0.027812229790455802,600,348
edge,edge,Z2_rot180,30,False,10,0.4808333333333333,0.493103448275862,0.012270114942528748,0.04578255693960065,0.9366666666666668,0.9633333333333335,0.026666666666666717,0.45583333333333337,0.47022988505747126,0.014396551724137913,0.0,0.0,19.0,0.0,59.2,0.02837632277895524,600,348
edge,edge,Z2_rot180,60,False,10,0.5301666666666667,0.517816091954023,-0.012350574712643697,0.054506426696537595,0.8666666666666666,0.8566666666666667,-0.009999999999999998,0.33649999999999997,0.3388505747126437,0.0023505747126437216,0.0,0.0,35.7,0.0,109.4,0.03378343327370097,600,348
edge,edge,Z2_rot180,120,False,10,0.5711666666666667,0.5683908045977011,-0.002775862068965518,0.05858708656749813,0.7908333333333333,0.7966666666666666,0.005833333333333324,0.21966666666666662,0.2282758620689655,0.008609195402298871,0.0,0.0,64.9,0.0,195.5,0.036312652465243046,600,348
edge,edge,Z2_rot180,240,False,10,0.5970000000000001,0.6316091954022989,0.03460919540229882,0.04248649830393979,0.7291666666666667,0.7491666666666666,0.019999999999999997,0.1321666666666666,0.1175574712643678,-0.014609195402298807,0.0,0.0,104.3,0.0,302.9,0.026333404471284783,600,348
edge,edge,Z2_rot180,450,False,10,0.6611666666666667,0.6574712643678161,-0.003695402298850581,0.0450210976185668,0.7115555555555556,0.7146666666666667,0.0031111111111111088,0.05038888888888885,0.05719540229885053,0.006806513409961676,96.1,0.0,142.9,0.0,393.7,0.0279043654021489,600,348
edge,edge,Z2_rot180,600,False,10,0.6671666666666667,0.6603448275862069,-0.006821839080459746,0.03960062557900556,0.6986666666666667,0.7123333333333333,0.01366666666666667,0.03149999999999997,0.05198850574712639,0.02048850574712642,129.2,0.0,161.0,0.0,427.0,0.024544722025047625,600,348
edge,edge,none,30,False,10,0.44383333333333336,0.45229885057471264,0.008465517241379322,0.056454629148569566,0.99,0.99,0.0,0.5461666666666667,0.5377011494252874,-0.008465517241379306,0.0,0.0,19.0,0.0,59.2,0.03499094166364398,600,348
edge,edge,none,60,False,10,0.48133333333333334,0.4729885057471265,-0.008344827586206898,0.05287728206145546,0.9666666666666666,0.9516666666666668,-0.014999999999999935,0.4853333333333333,0.4786781609195402,-0.006655172413793114,0.0,0.0,35.7,0.0,109.4,0.0327736789674991,600,348
edge,edge,none,120,False,10,0.5166666666666667,0.5155172413793103,-0.0011494252873563483,0.06366611455922963,0.8633333333333333,0.8716666666666667,0.008333333333333337,0.3466666666666666,0.3561494252873563,0.009482758620689674,0.0,0.0,64.9,0.0,195.5,0.03946066662895304,600,348
edge,edge,none,240,False,10,0.5418333333333333,0.5818965517241379,0.04006321839080458,0.04080709299297499,0.7708333333333333,0.7775000000000001,0.006666666666666687,0.22899999999999995,0.19560344827586204,-0.03339655172413791,0.0,0.0,104.3,0.0,302.9,0.02529249827542729,600,348
edge,edge,none,450,False,10,0.6091666666666666,0.6293103448275862,0.020143678160919533,0.05075435593271146,0.7133333333333333,0.7228888888888889,0.009555555555555572,0.10416666666666663,0.09357854406130268,-0.010588122605363948,96.1,0.0,142.9,0.0,393.7,0.031457875720760586,600,348
edge,edge,none,600,False,10,0.6266666666666667,0.646551724137931,0.019885057471264355,0.035431312852437356,0.6966666666666667,0.7081666666666667,0.011499999999999955,0.06999999999999998,0.06161494252873558,-0.008385057471264392,129.2,0.0,161.0,0.0,427.0,0.021960555224325086,600,348
edge_lines,edge_line_zzz_ccrz,C4,30,False,10,0.571,0.5632183908045977,-0.007781609195402295,0.08015022191569135,0.93,0.9400000000000001,0.009999999999999964,0.359,0.37678160919540227,0.01778160919540227,0.0,0.0,19.0,0.0,59.2,0.04967762221941964,600,348
edge_lines,edge_line_zzz_ccrz,C4,60,False,10,0.629,0.6413793103448275,0.012379310344827577,0.04854805434048733,0.885,0.8833333333333334,-0.0016666666666666496,0.25599999999999995,0.2419540229885057,-0.014045977011494242,0.0,0.0,35.7,0.0,109.4,0.030090395826370468,600,348
edge_lines,edge_line_zzz_ccrz,C4,120,False,10,0.6818333333333333,0.7022988505747126,0.020465517241379304,0.06655070644430848,0.8233333333333333,0.8391666666666666,0.01583333333333333,0.14149999999999996,0.136867816091954,-0.004632183908045968,0.0,0.0,64.9,0.0,195.5,0.04124855520242306,600,348
edge_lines,edge_line_zzz_ccrz,C4,240,False,10,0.7343333333333334,0.7275862068965517,-0.006747126436781603,0.046581327011260346,0.8125,0.8054166666666667,-0.007083333333333319,0.07816666666666663,0.07783045977011491,-0.00033620689655172037,0.0,0.0,104.3,0.0,302.9,0.028871405598586468,600,348
edge_lines,edge_line_zzz_ccrz,C4,450,False,10,0.7441666666666666,0.7160919540229885,-0.028074712643678158,0.05062428090181571,0.7757777777777778,0.7984444444444445,0.022666666666666658,0.031611111111111104,0.0823524904214559,0.0507413793103448,96.1,0.0,142.9,0.0,393.7,0.03137725438134851,600,348
edge_lines,edge_line_zzz_ccrz,C4,600,False,10,0.7706666666666667,0.7298850574712643,-0.0407816091954023,0.06353430412639303,0.7946666666666666,0.7901666666666667,-0.004500000000000004,0.02399999999999997,0.06028160919540225,0.036281609195402284,129.2,0.0,161.0,0.0,427.0,0.03937896967627433,600,348
edge_lines,edge_line_zzz_ccrz,D4,30,False,10,0.5676666666666667,0.5724137931034483,0.004747126436781618,0.058482220703647586,0.9400000000000001,0.9200000000000002,-0.020000000000000007,0.3723333333333333,0.34758620689655173,-0.0247471264367816,0.0,0.0,19.0,0.0,59.2,0.03624765592944356,600,348
edge_lines,edge_line_zzz_ccrz,D4,60,False,10,0.6496666666666667,0.6597701149425287,0.010103448275862048,0.0666933425292844,0.8866666666666667,0.865,-0.021666666666666657,0.23699999999999993,0.20522988505747125,-0.03177011494252872,0.0,0.0,35.7,0.0,109.4,0.041336961963813486,600,348
edge_lines,edge_line_zzz_ccrz,D4,120,False,10,0.6873333333333334,0.7137931034482758,0.02645977011494254,0.0460028599114925,0.8300000000000001,0.8466666666666667,0.016666666666666684,0.14266666666666658,0.13287356321839075,-0.00979310344827585,0.0,0.0,64.9,0.0,195.5,0.028512867975585773,600,348
edge_lines,edge_line_zzz_ccrz,D4,240,False,10,0.7268333333333333,0.7275862068965517,0.0007528735632183814,0.08395437956032933,0.7916666666666666,0.81125,0.019583333333333352,0.06483333333333326,0.08366379310344821,0.018830459770114966,0.0,0.0,104.3,0.0,302.9,0.05203546355555754,600,348
edge_lines,edge_line_zzz_ccrz,D4,450,False,10,0.7668333333333333,0.7218390804597702,-0.04499425287356321,0.07633942873252056,0.7895555555555556,0.7977777777777778,0.008222222222222209,0.02272222222222221,0.07593869731800763,0.05321647509578542,96.1,0.0,142.9,0.0,393.7,0.0473156681338897,600,348
edge_lines,edge_line_zzz_ccrz,D4,600,False,10,0.7846666666666666,0.7609195402298851,-0.02374712643678163,0.054992948591859034,0.804,0.8035,-0.0005000000000000004,0.01933333333333332,0.04258045977011493,0.02324712643678161,129.2,0.0,161.0,0.0,427.0,0.03408498266856949,600,348
ablation,edge,C4,600,False,10,0.6953333333333334,0.7034482758620689,0.008114942528735625,0.057019892884448295,0.7103333333333334,0.7218333333333333,0.011499999999999988,0.01499999999999998,0.01838505747126434,0.00338505747126436,129.2,0.0,161.0,0.0,427.0,0.035341295756922214,600,348
ablation,edge,D4,600,False,10,0.6871666666666666,0.6781609195402298,-0.009005747126436791,0.03133641792245378,0.7078333333333333,0.706,-0.0018333333333333313,0.02066666666666666,0.027839080459770092,0.007172413793103433,129.2,0.0,161.0,0.0,427.0,0.019422513051791615,600,348
ablation,edge_line_ccrz,C4,600,False,10,0.7131666666666667,0.7379310344827587,0.02476436781609197,0.04539658733494944,0.7383333333333333,0.7538333333333334,0.015500000000000003,0.025166666666666636,0.01590229885057469,-0.00926436781609195,129.2,0.0,161.0,0.0,427.0,0.028137096339529905,600,348
ablation,edge_line_ccrz,D4,600,False,10,0.7356666666666667,0.7448275862068965,0.009160919540229883,0.05871847327420727,0.762,0.7773333333333333,0.015333333333333343,0.0263333333333333,0.03250574712643676,0.0061724137931034595,129.2,0.0,161.0,0.0,427.0,0.03639408678974705,600,348
ablation,edge_line_zzz,C4,600,False,10,0.757,0.7264367816091954,-0.030563218390804604,0.06931955105553858,0.7711666666666667,0.7766666666666666,0.005499999999999994,0.014166666666666671,0.05022988505747124,0.036063218390804556,129.2,0.0,161.0,0.0,427.0,0.04296470287230289,600,348
ablation,edge_line_zzz,D4,600,False,10,0.745,0.7448275862068965,-0.00017241379310344306,0.06926204345155292,0.7638333333333334,0.7666666666666667,0.0028333333333333322,0.01883333333333331,0.02183908045977008,0.0030057471264367695,129.2,0.0,161.0,0.0,427.0,0.04292905929007364,600,348
ablation,edge_line_zzz_ccrz,C4,600,False,10,0.7706666666666667,0.7298850574712643,-0.0407816091954023,0.06353430412639303,0.7946666666666666,0.7901666666666667,-0.004500000000000004,0.02399999999999997,0.06028160919540225,0.036281609195402284,129.2,0.0,161.0,0.0,427.0,0.03937896967627433,600,348
ablation,edge_line_zzz_ccrz,D4,600,False,10,0.7846666666666666,0.7609195402298851,-0.02374712643678163,0.054992948591859034,0.804,0.8035,-0.0005000000000000004,0.01933333333333332,0.04258045977011493,0.02324712643678161,129.2,0.0,161.0,0.0,427.0,0.03408498266856949,600,348
ablation,line_ccrz,C4,600,False,10,0.7098333333333333,0.6954022988505747,-0.01443103448275862,0.05532640314572049,0.7278333333333333,0.7271666666666666,-0.0006666666666666488,0.01799999999999997,0.03176436781609194,0.013764367816091971,129.2,0.0,161.0,0.0,427.0,0.034291659942295556,600,348
ablation,line_ccrz,D4,600,False,10,0.7098333333333333,0.6954022988505747,-0.01443103448275862,0.05532640314572049,0.7278333333333333,0.7271666666666666,-0.0006666666666666488,0.01799999999999997,0.03176436781609194,0.013764367816091971,129.2,0.0,161.0,0.0,427.0,0.034291659942295556,600,348
ablation,line_pair_crz,C4,600,False,10,0.6651666666666667,0.6367816091954023,-0.028385057471264363,0.0569542739696488,0.6875,0.7023333333333334,0.014833333333333332,0.02233333333333331,0.06555172413793096,0.04321839080459766,129.2,0.0,161.0,0.0,427.0,0.035300624732164644,600,348
ablation,line_pair_crz,D4,600,False,10,0.6651666666666667,0.6367816091954023,-0.028385057471264363,0.0569542739696488,0.6875,0.7023333333333334,0.014833333333333332,0.02233333333333331,0.06555172413793096,0.04321839080459766,129.2,0.0,161.0,0.0,427.0,0.035300624732164644,600,348
ablation,line_zzz,C4,600,False,10,0.6865,0.7126436781609196,0.02614367816091956,0.08234594699182726,0.7053333333333334,0.7113333333333334,0.006000000000000005,0.01883333333333332,-0.0013103448275862315,-0.020143678160919554,129.2,0.0,161.0,0.0,427.0,0.051038546721222315,600,348
ablation,line_zzz,D4,600,False,10,0.6865,0.7126436781609196,0.02614367816091956,0.08234594699182726,0.7053333333333334,0.7113333333333334,0.006000000000000005,0.01883333333333332,-0.0013103448275862315,-0.020143678160919554,129.2,0.0,161.0,0.0,427.0,0.051038546721222315,600,348
ablation,line_zzz_ccrz,C4,600,False,10,0.7456666666666667,0.7218390804597701,-0.023827586206896557,0.05243583172480642,0.7661666666666667,0.7526666666666666,-0.013500000000000012,0.02049999999999999,0.03082758620689654,0.010327586206896552,129.2,0.0,161.0,0.0,427.0,0.032500065214117926,600,348
ablation,line_zzz_ccrz,D4,600,False,10,0.7456666666666667,0.7218390804597701,-0.023827586206896557,0.05243583172480642,0.7661666666666667,0.7526666666666666,-0.013500000000000012,0.02049999999999999,0.03082758620689654,0.010327586206896552,129.2,0.0,161.0,0.0,427.0,0.032500065214117926,600,348
random,edge,C4,600,False,10,0.6953333333333334,0.7034482758620689,0.008114942528735625,0.057019892884448295,0.7103333333333334,0.7218333333333333,0.011499999999999988,0.01499999999999998,0.01838505747126434,0.00338505747126436,129.2,0.0,161.0,0.0,427.0,0.035341295756922214,600,348
random,edge,C4,600,True,10,0.561,0.5844827586206897,0.023482758620689638,0.03076602348363028,0.6023333333333334,0.5938333333333333,-0.008499999999999997,0.04133333333333329,0.00935057471264367,-0.03198275862068962,129.2,0.0,161.0,0.0,427.0,0.019068978915881954,600,348
random,edge,D2_V4,600,False,10,0.6778333333333333,0.6505747126436782,-0.027258620689655188,0.05286100585237573,0.7003333333333334,0.6986666666666667,-0.001666666666666683,0.02249999999999998,0.04809195402298846,0.02559195402298848,129.2,0.0,161.0,0.0,427.0,0.03276359086859555,600,348
random,edge,D2_V4,600,True,10,0.5843333333333334,0.5988505747126437,0.014517241379310365,0.025013497332644356,0.6301666666666667,0.6198333333333333,-0.010333333333333316,0.045833333333333295,0.02098275862068962,-0.02485057471264367,129.2,0.0,161.0,0.0,427.0,0.015503526268269705,600,348
random,edge,D4,600,False,10,0.6871666666666666,0.6781609195402298,-0.009005747126436791,0.031336417922453785,0.7078333333333333,0.706,-0.0018333333333333313,0.02066666666666666,0.027839080459770092,0.007172413793103433,129.2,0.0,161.0,0.0,427.0,0.019422513051791622,600,348
random,edge,D4,600,True,10,0.5723333333333332,0.5991379310344828,0.026804597701149457,0.031367287495072345,0.6063333333333334,0.6101666666666666,0.003833333333333333,0.034,0.0110287356321839,-0.0229712643678161,129.2,0.0,161.0,0.0,427.0,0.019441646211126262,600,348
random,edge,Z2_reflection,600,False,10,0.6706666666666667,0.6655172413793103,-0.005149425287356324,0.04487244538052443,0.7101666666666666,0.7115,0.001333333333333342,0.039499999999999966,0.04598275862068965,0.006482758620689681,129.2,0.0,161.0,0.0,427.0,0.027812229790455802,600,348
random,edge,Z2_reflection,600,True,10,0.5926666666666667,0.6140804597701149,0.021413793103448264,0.027606064585460673,0.6481666666666667,0.6506666666666667,0.0025000000000000135,0.05549999999999992,0.03658620689655169,-0.018913793103448227,129.2,0.0,161.0,0.0,427.0,0.017110416099458476,600,348
random,edge,Z2_rot180,600,False,10,0.6671666666666667,0.6603448275862069,-0.006821839080459746,0.03960062557900556,0.6986666666666667,0.7123333333333333,0.01366666666666667,0.03149999999999997,0.05198850574712639,0.02048850574712642,129.2,0.0,161.0,0.0,427.0,0.024544722025047625,600,348
random,edge,Z2_rot180,600,True,10,0.5873333333333333,0.6149425287356322,0.027609195402298857,0.03843352293286485,0.6391666666666667,0.6478333333333334,0.008666666666666678,0.0518333333333333,0.03289080459770114,-0.01894252873563216,129.2,0.0,161.0,0.0,427.0,0.02382134431054485,600,348
random,edge,none,600,False,10,0.6266666666666667,0.646551724137931,0.019885057471264355,0.035431312852437356,0.6966666666666667,0.7081666666666667,0.011499999999999955,0.06999999999999998,0.06161494252873558,-0.008385057471264392,129.2,0.0,161.0,0.0,427.0,0.021960555224325086,600,348
